,longitudes,latitudes,spatial_counts,id
146,-124.9,40.5,0.0,1.0
147,-124.9,40.6,0.0,1.0
148,-124.9,40.7,0.0,1.0
149,-124.9,40.8,0.0,1.0
150,-124.9,40.9,0.0,1.0
151,-124.9,41.0,0.0,1.0
152,-124.9,41.1,0.0,1.0
153,-124.9,41.2,0.0,1.0
154,-124.9,41.3,0.0,1.0
155,-124.9,41.4,0.0,1.0
156,-124.9,41.5,0.0,1.0
157,-124.9,41.6,0.0,1.0
158,-124.9,41.7,0.0,1.0
159,-124.9,41.8,0.0,1.0
160,-124.9,41.9,0.0,1.0
161,-124.9,42.0,0.0,1.0
162,-124.9,42.1,0.0,1.0
163,-124.9,42.2,0.0,1.0
164,-124.9,42.3,0.0,1.0
165,-124.9,42.4,0.0,1.0
166,-124.9,42.5,0.0,1.0
167,-124.9,42.6,0.0,1.0
168,-124.9,42.7,0.0,1.0
169,-124.9,42.8,0.0,1.0
170,-124.9,42.9,0.0,1.0
171,-124.8,39.2,0.0,1.0
172,-124.8,39.3,0.0,1.0
173,-124.8,39.4,0.0,1.0
174,-124.8,39.5,0.0,1.0
175,-124.8,39.6,0.0,1.0
176,-124.8,39.7,0.0,1.0
177,-124.8,39.8,0.0,1.0
178,-124.8,39.9,0.0,1.0
179,-124.8,40.0,0.0,1.0
180,-124.8,40.1,0.0,1.0
181,-124.8,40.2,0.0,1.0
182,-124.8,40.3,0.0,1.0
183,-124.8,40.4,0.0,1.0
184,-124.8,40.5,0.0,1.0
185,-124.8,40.6,0.0,1.0
186,-124.8,40.7,0.0,1.0
187,-124.8,40.8,0.0,1.0
188,-124.8,40.9,0.0,1.0
189,-124.8,41.0,0.0,1.0
190,-124.8,41.1,0.0,1.0
191,-124.8,41.2,0.0,1.0
192,-124.8,41.3,0.0,1.0
193,-124.8,41.4,0.0,1.0
194,-124.8,41.5,0.0,1.0
195,-124.8,41.6,0.0,1.0
196,-124.8,41.7,0.0,1.0
197,-124.8,41.8,0.0,1.0
198,-124.8,41.9,0.0,1.0
199,-124.8,42.0,0.0,1.0
200,-124.8,42.1,0.0,1.0
201,-124.8,42.2,0.0,1.0
202,-124.8,42.3,0.0,1.0
203,-124.8,42.4,0.0,1.0
204,-124.8,42.5,0.0,1.0
205,-124.8,42.6,0.0,1.0
206,-124.8,42.7,0.0,1.0
207,-124.8,42.8,0.0,1.0
208,-124.8,42.9,0.0,1.0
209,-124.7,39.0,0.0,1.0
210,-124.7,39.1,0.0,1.0
211,-124.7,39.2,0.0,1.0
212,-124.7,39.3,0.0,1.0
213,-124.7,39.4,0.0,1.0
214,-124.7,39.5,0.0,1.0
215,-124.7,39.6,0.0,1.0
216,-124.7,39.7,0.0,1.0
217,-124.7,39.8,0.0,1.0
218,-124.7,39.9,0.0,1.0
219,-124.7,40.0,0.0,1.0
220,-124.7,40.1,0.0,1.0
221,-124.7,40.2,0.0,1.0
222,-124.7,40.3,0.0,1.0
223,-124.7,40.4,0.0,1.0
224,-124.7,40.5,0.0,1.0
225,-124.7,40.6,0.0,1.0
226,-124.7,40.7,0.0,1.0
227,-124.7,40.8,0.0,1.0
228,-124.7,40.9,0.0,1.0
229,-124.7,41.0,0.0,1.0
230,-124.7,41.1,0.0,1.0
231,-124.7,41.2,0.0,1.0
232,-124.7,41.3,0.0,1.0
233,-124.7,41.4,0.0,1.0
234,-124.7,41.5,0.0,1.0
235,-124.7,41.6,0.0,1.0
236,-124.7,41.7,0.0,1.0
237,-124.7,41.8,0.0,1.0
238,-124.7,41.9,0.0,1.0
239,-124.7,42.0,0.0,1.0
240,-124.7,42.1,0.0,1.0
241,-124.7,42.2,0.0,1.0
242,-124.7,42.3,0.0,1.0
243,-124.7,42.4,0.0,1.0
244,-124.7,42.5,0.0,1.0
245,-124.7,42.6,0.0,1.0
246,-124.7,42.7,0.0,1.0
247,-124.7,42.8,0.0,1.0
248,-124.7,42.9,0.0,1.0
249,-124.6,38.9,1.4213990022100003e-06,1.0
250,-124.6,39.0,1.47904178851e-06,0.0
251,-124.6,39.1,1.5285747165200001e-06,0.0
252,-124.6,39.2,1.59190104047e-06,0.0
253,-124.6,39.3,1.71713150412e-06,0.0
254,-124.6,39.4,1.9921860333300004e-06,0.0
255,-124.6,39.5,2.5549425522e-06,0.0
256,-124.6,39.6,3.5891377156999997e-06,0.0
257,-124.6,39.7,5.3801770244999996e-06,0.0
258,-124.6,39.8,8.0101432215e-06,0.0
259,-124.6,39.9,1.13792332874e-05,0.0
260,-124.6,40.0,1.52755224549e-05,0.0
261,-124.6,40.1,1.9348896681499998e-05,0.0
262,-124.6,40.2,0.00016743687966787118,0.0
263,-124.6,40.3,0.00012247211502623264,0.0
264,-124.6,40.4,0.0002561058652705973,0.0
265,-124.6,40.5,2.7645784153999997e-05,0.0
266,-124.6,40.6,2.9959246105999995e-05,0.0
267,-124.6,40.7,2.7487685275e-05,0.0
268,-124.6,40.8,2.1404385891000002e-05,0.0
269,-124.6,40.9,1.8124448087999998e-05,0.0
270,-124.6,41.0,1.5455956873e-05,0.0
271,-124.6,41.1,1.2878947423999999e-05,0.0
272,-124.6,41.2,1.0329785972e-05,0.0
273,-124.6,41.3,7.874876558999999e-06,0.0
274,-124.6,41.4,6.1855697136e-06,0.0
275,-124.6,41.5,4.87016217758e-06,0.0
276,-124.6,41.6,3.8511400338e-06,0.0
277,-124.6,41.7,2.9891962269000002e-06,0.0
278,-124.6,41.8,2.2750747381e-06,0.0
279,-124.6,41.9,1.6956888875500002e-06,0.0
280,-124.6,42.0,1.23284948559e-06,0.0
281,-124.6,42.1,8.680198294000001e-07,0.0
282,-124.6,42.2,0.0,0.0
283,-124.6,42.3,0.0,1.0
284,-124.6,42.4,0.0,1.0
285,-124.6,42.5,0.0,1.0
286,-124.6,42.6,0.0,1.0
287,-124.6,42.7,0.0,1.0
288,-124.6,42.8,0.0,1.0
289,-124.6,42.9,0.0,1.0
290,-124.5,38.7,1.5303274190500002e-06,1.0
291,-124.5,38.8,1.6472102990600003e-06,1.0
292,-124.5,38.9,1.74691503576e-06,1.0
293,-124.5,39.0,1.82362802785e-06,0.0
294,-124.5,39.1,1.87874491994e-06,0.0
295,-124.5,39.2,1.9285387830400003e-06,0.0
296,-124.5,39.3,2.01469481838e-06,0.0
297,-124.5,39.4,2.2162705078600003e-06,0.0
298,-124.5,39.5,2.6713512400999995e-06,0.0
299,-124.5,39.6,3.6137229132999994e-06,0.0
300,-124.5,39.7,5.1193860376e-06,0.0
301,-124.5,39.8,7.192204516399999e-06,0.0
302,-124.5,39.9,9.9411965137e-06,0.0
303,-124.5,40.0,1.3282906600699999e-05,0.0
304,-124.5,40.1,1.8872942504199996e-05,0.0
305,-124.5,40.2,6.234923327701647e-05,0.0
306,-124.5,40.3,4.490918421014872e-05,0.0
307,-124.5,40.4,0.0002429869528379849,0.0
308,-124.5,40.5,2.4882937882e-05,0.0
309,-124.5,40.6,2.5033971605e-05,0.0
310,-124.5,40.7,0.00017792606281863437,0.0
311,-124.5,40.8,1.8739718507e-05,0.0
312,-124.5,40.9,1.6515955097e-05,0.0
313,-124.5,41.0,1.3656598070999998e-05,0.0
314,-124.5,41.1,1.0963868195000001e-05,0.0
315,-124.5,41.2,8.640527145000001e-06,0.0
316,-124.5,41.3,7.079414439499999e-06,0.0
317,-124.5,41.4,5.7823528791e-06,0.0
318,-124.5,41.5,4.6739283371e-06,0.0
319,-124.5,41.6,3.6853275417999997e-06,0.0
320,-124.5,41.7,2.8293792426999997e-06,0.0
321,-124.5,41.8,2.11577993693e-06,0.0
322,-124.5,41.9,1.5419133756600002e-06,0.0
323,-124.5,42.0,1.09382780119e-06,0.0
324,-124.5,42.1,7.5194502402e-07,0.0
325,-124.5,42.2,0.0,0.0
326,-124.5,42.3,0.0,1.0
327,-124.5,42.4,0.0,1.0
328,-124.5,42.5,0.0,1.0
329,-124.5,42.6,0.0,1.0
330,-124.5,42.7,0.0,1.0
331,-124.5,42.8,0.0,1.0
332,-124.5,42.9,0.0,1.0
333,-124.4,38.6,1.6546664294300002e-06,1.0
334,-124.4,38.7,1.81918947359e-06,1.0
335,-124.4,38.8,1.97397481713e-06,0.0
336,-124.4,38.9,2.1051013792e-06,0.0
337,-124.4,39.0,2.20157337029e-06,0.0
338,-124.4,39.1,2.2595213654399998e-06,0.0
339,-124.4,39.2,2.2900733346299997e-06,0.0
340,-124.4,39.3,2.3292340756999996e-06,0.0
341,-124.4,39.4,2.4904366695e-06,0.0
342,-124.4,39.5,2.8987603224e-06,0.0
343,-124.4,39.6,3.5987056969e-06,0.0
344,-124.4,39.7,4.6426409381e-06,0.0
345,-124.4,39.8,6.2696046882e-06,0.0
346,-124.4,39.9,8.586797934000001e-06,0.0
347,-124.4,40.0,1.29193634898e-05,0.0
348,-124.4,40.1,1.9957085540699997e-05,0.0
349,-124.4,40.2,2.5191010738907363e-05,0.0
350,-124.4,40.3,4.490918421014872e-05,0.0
351,-124.4,40.4,1.9609080867999998e-05,0.0
352,-124.4,40.5,1.9911580789699997e-05,0.0
353,-124.4,40.6,1.8820902475999997e-05,0.0
354,-124.4,40.7,0.00017792606281863437,0.0
355,-124.4,40.8,1.6011994524999998e-05,0.0
356,-124.4,40.9,1.3879623602e-05,0.0
357,-124.4,41.0,1.1211203639999999e-05,0.0
358,-124.4,41.1,9.1612721487e-06,0.0
359,-124.4,41.2,7.85680758985e-06,0.0
360,-124.4,41.3,6.6683835899e-06,0.0
361,-124.4,41.4,5.5690675335e-06,0.0
362,-124.4,41.5,4.5263753372e-06,0.0
363,-124.4,41.6,3.5601462499e-06,0.0
364,-124.4,41.7,2.7032810306e-06,0.0
365,-124.4,41.8,1.98277564783e-06,0.0
366,-124.4,41.9,1.4076324784200002e-06,0.0
367,-124.4,42.0,9.6871369173e-07,0.0
368,-124.4,42.1,6.4550175194e-07,0.0
369,-124.4,42.2,0.0,0.0
370,-124.4,42.3,0.0,1.0
371,-124.4,42.4,0.0,1.0
372,-124.4,42.5,0.0,1.0
373,-124.4,42.6,0.0,1.0
374,-124.4,42.7,0.0,1.0
375,-124.4,42.8,0.0,1.0
376,-124.4,42.9,0.0,1.0
