,date
10,2012-10-01
21,2012-10-02
24,2012-10-03
25,2012-10-04
26,2012-10-05
27,2012-10-06
28,2012-10-07
29,2012-10-08
30,2012-10-09
0,2012-10-10
1,2012-10-11
2,2012-10-12
3,2012-10-13
4,2012-10-14
5,2012-10-15
6,2012-10-16
7,2012-10-17
8,2012-10-18
9,2012-10-19
11,2012-10-20
12,2012-10-21
13,2012-10-22
14,2012-10-23
15,2012-10-24
16,2012-10-25
17,2012-10-26
18,2012-10-27
19,2012-10-28
20,2012-10-29
22,2012-10-30
23,2012-10-31
41,2012-11-01
52,2012-11-02
54,2012-11-03
55,2012-11-04
56,2012-11-05
57,2012-11-06
58,2012-11-07
59,2012-11-08
60,2012-11-09
31,2012-11-10
32,2012-11-11
33,2012-11-12
34,2012-11-13
35,2012-11-14
36,2012-11-15
37,2012-11-16
38,2012-11-17
39,2012-11-18
40,2012-11-19
42,2012-11-20
43,2012-11-21
44,2012-11-22
45,2012-11-23
46,2012-11-24
47,2012-11-25
48,2012-11-26
49,2012-11-27
50,2012-11-28
51,2012-11-29
53,2012-11-30
71,2012-12-01
82,2012-12-02
85,2012-12-03
86,2012-12-04
87,2012-12-05
88,2012-12-06
89,2012-12-07
90,2012-12-08
91,2012-12-09
61,2012-12-10
62,2012-12-11
63,2012-12-12
64,2012-12-13
65,2012-12-14
66,2012-12-15
67,2012-12-16
68,2012-12-17
69,2012-12-18
70,2012-12-19
72,2012-12-20
73,2012-12-21
74,2012-12-22
75,2012-12-23
76,2012-12-24
77,2012-12-25
78,2012-12-26
79,2012-12-27
80,2012-12-28
81,2012-12-29
83,2012-12-30
84,2012-12-31
102,2013-01-01
113,2013-01-02
116,2013-01-03
117,2013-01-04
118,2013-01-05
119,2013-01-06
120,2013-01-07
121,2013-01-08
122,2013-01-09
92,2013-01-10
93,2013-01-11
94,2013-01-12
95,2013-01-13
96,2013-01-14
97,2013-01-15
98,2013-01-16
99,2013-01-17
100,2013-01-18
101,2013-01-19
103,2013-01-20
104,2013-01-21
105,2013-01-22
106,2013-01-23
107,2013-01-24
108,2013-01-25
109,2013-01-26
110,2013-01-27
111,2013-01-28
112,2013-01-29
114,2013-01-30
115,2013-01-31
133,2013-02-01
143,2013-02-02
144,2013-02-03
145,2013-02-04
146,2013-02-05
147,2013-02-06
148,2013-02-07
149,2013-02-08
150,2013-02-09
123,2013-02-10
124,2013-02-11
125,2013-02-12
126,2013-02-13
127,2013-02-14
128,2013-02-15
129,2013-02-16
130,2013-02-17
131,2013-02-18
132,2013-02-19
134,2013-02-20
135,2013-02-21
136,2013-02-22
137,2013-02-23
138,2013-02-24
139,2013-02-25
140,2013-02-26
141,2013-02-27
142,2013-02-28
161,2013-03-01
172,2013-03-02
175,2013-03-03
176,2013-03-04
177,2013-03-05
178,2013-03-06
179,2013-03-07
180,2013-03-08
