,date
347,2013-06-21
349,2013-06-22
350,2013-06-23
351,2013-06-24
352,2013-06-25
353,2013-06-26
354,2013-06-27
355,2013-06-28
356,2013-06-29
357,2013-06-30
367,2013-07-01
378,2013-07-02
389,2013-07-03
390,2013-07-04
391,2013-07-05
392,2013-07-06
393,2013-07-07
394,2013-07-08
395,2013-07-09
365,2013-07-10
366,2013-07-11
368,2013-07-12
369,2013-07-13
370,2013-07-14
371,2013-07-15
372,2013-07-16
373,2013-07-17
374,2013-07-18
375,2013-07-19
376,2013-07-20
377,2013-07-21
379,2013-07-22
380,2013-07-23
381,2013-07-24
382,2013-07-25
383,2013-07-26
384,2013-07-27
385,2013-07-28
386,2013-07-29
387,2013-07-30
388,2013-07-31
398,2013-08-01
409,2013-08-02
420,2013-08-03
421,2013-08-04
422,2013-08-05
423,2013-08-06
424,2013-08-07
425,2013-08-08
426,2013-08-09
396,2013-08-10
397,2013-08-11
399,2013-08-12
400,2013-08-13
401,2013-08-14
402,2013-08-15
403,2013-08-16
404,2013-08-17
405,2013-08-18
406,2013-08-19
407,2013-08-20
408,2013-08-21
410,2013-08-22
411,2013-08-23
412,2013-08-24
413,2013-08-25
414,2013-08-26
415,2013-08-27
416,2013-08-28
417,2013-08-29
418,2013-08-30
419,2013-08-31
429,2013-09-01
440,2013-09-02
450,2013-09-03
451,2013-09-04
452,2013-09-05
453,2013-09-06
454,2013-09-07
455,2013-09-08
456,2013-09-09
427,2013-09-10
428,2013-09-11
430,2013-09-12
431,2013-09-13
432,2013-09-14
433,2013-09-15
434,2013-09-16
435,2013-09-17
436,2013-09-18
437,2013-09-19
438,2013-09-20
439,2013-09-21
441,2013-09-22
442,2013-09-23
443,2013-09-24
444,2013-09-25
445,2013-09-26
446,2013-09-27
447,2013-09-28
448,2013-09-29
449,2013-09-30
459,2013-10-01
470,2013-10-02
481,2013-10-03
482,2013-10-04
483,2013-10-05
484,2013-10-06
485,2013-10-07
486,2013-10-08
487,2013-10-09
457,2013-10-10
458,2013-10-11
460,2013-10-12
461,2013-10-13
462,2013-10-14
463,2013-10-15
464,2013-10-16
465,2013-10-17
466,2013-10-18
